Date,GPRD
2/4/11,117
2/5/11,56
2/6/11,59
2/7/11,63
2/8/11,18
2/9/11,25
2/10/11,71
2/11/11,53
2/12/11,36
2/13/11,118
2/14/11,64
2/15/11,58
2/16/11,33
2/17/11,87
2/18/11,46
2/19/11,29
2/20/11,115
2/21/11,59
2/22/11,73
2/23/11,231
2/24/11,39
2/25/11,103
2/26/11,129
2/27/11,37
2/28/11,103
3/1/11,145
3/2/11,148
3/3/11,76
3/4/11,60
3/5/11,104
3/6/11,58
3/7/11,55
3/8/11,108
3/9/11,79
3/10/11,89
3/11/11,147
3/12/11,65
3/13/11,36
3/14/11,71
3/15/11,104
3/16/11,112
3/17/11,45
3/18/11,192
3/19/11,347
3/20/11,184
3/21/11,233
3/22/11,337
3/23/11,163
3/24/11,127
3/25/11,98
3/26/11,31
3/27/11,38
3/28/11,171
3/29/11,137
3/30/11,147
3/31/11,48
4/1/11,61
4/2/11,86
4/3/11,60
4/4/11,83
4/5/11,58
4/6/11,122
4/7/11,46
4/8/11,77
4/9/11,37
4/10/11,113
4/11/11,10
4/12/11,78
4/13/11,77
4/14/11,24
4/15/11,114
4/16/11,80
4/17/11,57
4/18/11,78
4/19/11,34
4/20/11,58
4/21/11,59
4/22/11,39
4/23/11,46
4/24/11,0
4/25/11,77
4/26/11,123
4/27/11,35
4/28/11,46
4/29/11,62
4/30/11,39
5/1/11,52
5/2/11,213
5/3/11,348
5/4/11,118
5/5/11,68
5/6/11,120
5/7/11,61
5/8/11,115
5/9/11,96
5/10/11,26
5/11/11,68
5/12/11,39
5/13/11,46
5/14/11,50
5/15/11,19
5/16/11,21
5/17/11,70
5/18/11,62
5/19/11,64
5/20/11,54
5/21/11,37
5/22/11,35
5/23/11,104
5/24/11,105
5/25/11,43
5/26/11,39
5/27/11,53
5/28/11,49
5/29/11,39
5/30/11,63
5/31/11,19
6/1/11,34
6/2/11,53
6/3/11,23
6/4/11,19
6/5/11,77
6/6/11,49
6/7/11,62
6/8/11,74
6/9/11,65
6/10/11,63
6/11/11,57
6/12/11,73
6/13/11,20
6/14/11,35
6/15/11,63
6/16/11,75
6/17/11,72
6/18/11,49
6/19/11,96
6/20/11,98
6/21/11,61
6/22/11,60
6/23/11,175
6/24/11,77
6/25/11,52
6/26/11,62
6/27/11,59
6/28/11,9
6/29/11,34
6/30/11,47
7/1/11,30
7/2/11,25
7/3/11,42
7/4/11,59
7/5/11,10
7/6/11,25
7/7/11,91
7/8/11,25
7/9/11,20
7/10/11,19
7/11/11,63
7/12/11,55
7/13/11,34
7/14/11,57
7/15/11,65
7/16/11,40
7/17/11,42
7/18/11,62
7/19/11,37
7/20/11,18
7/21/11,0
7/22/11,56
7/23/11,83
7/24/11,0
7/25/11,68
7/26/11,81
7/27/11,42
7/28/11,25
7/29/11,62
7/30/11,7
7/31/11,43
8/1/11,110
8/2/11,19
8/3/11,44
8/4/11,8
8/5/11,55
8/6/11,34
8/7/11,64
8/8/11,29
8/9/11,9
8/10/11,9
8/11/11,75
8/12/11,24
8/13/11,40
8/14/11,20
8/15/11,29
8/16/11,45
8/17/11,0
8/18/11,49
8/19/11,8
8/20/11,7
8/21/11,41
8/22/11,78
8/23/11,65
8/24/11,44
8/25/11,72
8/26/11,48
8/27/11,26
8/28/11,63
8/29/11,61
8/30/11,39
8/31/11,76
9/1/11,33
9/2/11,31
9/3/11,20
9/4/11,64
9/5/11,31
9/6/11,59
9/7/11,8
9/8/11,54
9/9/11,58
9/10/11,98
9/11/11,197
9/12/11,37
9/13/11,26
9/14/11,16
9/15/11,23
9/16/11,97
9/17/11,76
9/18/11,36
9/19/11,55
9/20/11,43
9/21/11,33
9/22/11,15
9/23/11,90
9/24/11,50
9/25/11,18
9/26/11,18
9/27/11,18
9/28/11,24
9/29/11,38
9/30/11,31
10/1/11,85
10/2/11,86
10/3/11,36
10/4/11,58
10/5/11,25
10/6/11,22
10/7/11,22
10/8/11,52
10/9/11,122
10/10/11,28
10/11/11,37
10/12/11,32
10/13/11,101
10/14/11,40
10/15/11,37
10/16/11,55
10/17/11,28
10/18/11,25
10/19/11,41
10/20/11,53
10/21/11,100
10/22/11,71
10/23/11,87
10/24/11,54
10/25/11,9
10/26/11,41
10/27/11,61
10/28/11,58
10/29/11,13
10/30/11,0
10/31/11,65
11/1/11,46
11/2/11,48
11/3/11,78
11/4/11,86
11/5/11,19
11/6/11,0
11/7/11,74
11/8/11,104
11/9/11,110
11/10/11,122
11/11/11,35
11/12/11,61
11/13/11,105
11/14/11,56
11/15/11,81
11/16/11,32
11/17/11,66
11/18/11,80
11/19/11,50
11/20/11,85
11/21/11,74
11/22/11,97
11/23/11,40
11/24/11,56
11/25/11,45
11/26/11,32
11/27/11,57
11/28/11,56
11/29/11,69
11/30/11,48
12/1/11,29
12/2/11,22
12/3/11,19
12/4/11,54
12/5/11,70
12/6/11,17
12/7/11,25
12/8/11,38
12/9/11,36
12/10/11,32
12/11/11,32
12/12/11,92
12/13/11,35
12/14/11,79
12/15/11,52
12/16/11,108
12/17/11,19
12/18/11,0
12/19/11,35
12/20/11,60
12/21/11,50
12/22/11,25
12/23/11,47
12/24/11,87
12/25/11,0
12/26/11,49
12/27/11,12
12/28/11,63
12/29/11,79
12/30/11,38
12/31/11,60
1/1/12,55
1/2/12,25
1/3/12,67
1/4/12,68
1/5/12,56
1/6/12,135
1/7/12,39
1/8/12,93
1/9/12,89
